Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
*-ŋ_yellow,ŋ,*-ŋ_yellow_ŋ,Guangfu,0.002,0.356,0.973
ou_good,ɐu,ou_good_ɐu,Guangfu,0.001,0.357,0.135
*k_bone,k,*k_bone_k,Guangfu,0,0.356,1
*k_chicken,k,*k_chicken_k,Guangfu,0,0.359,1
*-ŋ_cold,ŋ,*-ŋ_cold_ŋ,Guangfu,0,0.356,1
dog_o,k,dog_o_k,Guangfu,0,0.356,1
*k_dry,k,*k_dry_k,Guangfu,0,0.356,1
*k_liver,k,*k_liver_k,Guangfu,0,0.356,1
*-ŋ_winter,ŋ,*-ŋ_winter_ŋ,Guangfu,0,0.356,1
*-m_blue,m,*-m_blue_m,Guangfu,-0.002,0.355,0.892
*m_full,m,*m_full_m,Guangfu,-0.002,0.355,0.892
*-m_man,m,*-m_man_m,Guangfu,-0.002,0.355,0.892
*-n_dry,n,*-n_dry_n,Guangfu,-0.004,0.354,0.919
*-n_root,n,*-n_root_n,Guangfu,-0.004,0.354,0.919
ts_fat,ʦ,ts_fat_ʦ,Guangfu,-0.005,0.361,0.946
*ɣ_yellow,v,*ɣ_yellow_v,Guangfu,-0.006,0.35,0.189
*-ŋ_double,ŋ,*-ŋ_double_ŋ,Guangfu,-0.007,0.36,0.973
tomb_m,0,tomb_m_0,Guangfu,-0.007,0.36,0.973
*l_blue,l,*l_blue_l,Guangfu,-0.008,0.353,0.973
u_full,u,u_full_u,Guangfu,-0.008,0.352,0.838
*x_good,h,*x_good_h,Guangfu,-0.008,0.353,0.973
*l_green,l,*l_green_l,Guangfu,-0.008,0.353,0.973
*-k_meat,k,*-k_meat_k,Guangfu,-0.008,0.353,0.973
*-k_six,k,*-k_six_k,Guangfu,-0.008,0.353,0.973
f_skin2,f,f_skin2_f,Guangfu,-0.008,0.353,0.973
i_to see_col,i,i_to see_col_i,Guangfu,-0.01,0.352,0.865
*-p_duck,p,*-p_duck_p,Guangfu,-0.011,0.351,0.892
*-n_cloud,n,*-n_cloud_n,Guangfu,-0.013,0.351,0.919
*-m_heart,m,*-m_heart_m,Guangfu,-0.013,0.351,0.919
*-n_new,n,*-n_new_n,Guangfu,-0.013,0.351,0.919
*-n_person,n,*-n_person_n,Guangfu,-0.013,0.351,0.919
*-m_to drink,m,*-m_to drink_m,Guangfu,-0.013,0.351,0.919
